Notes,Paper_ID,Study_Area,Area_Code,Center_Long,Center_Lat,Coor_Given,Study_Start,Study_End,Area ,Study_Region,Study_Country,Eco_Code_Olson,Eco_Num_Olson,Realm_Olson,Biome_Olson,Study_Code,Suprarealm_OneEarth,Biome_Detal,Biome_Detal_Name,Bioregion_Olson,Ecoregion_Olson,Ecoregion_OneEarth,Ecoregion_OneEarth2,Realm_OneEarth,Subrealm_OneEarth,Bioregion_OneEarth,Protected_Area,Avg_Temp_Ann,Avg_Temp_Min,Avg_Temp_Max,Avg_Precipitation,Avg_Rainfall,Avg_Snow,Snow_Period,Elev_Min,Elev_Max,Elev_Range,Range_Wolf_Dens,Avg_Wolf_Dens,n_Wolves,n_Packs,Range_Pack_Size,Avg_Pack_Size,Wolf_Notes,Livestock_Notes,Wild_Ung_Avail_n,Wild_Ung_Avail_Name,Beaver_Avail,Paper_Pred_Tot_n,Pred_Larger_n,Pred_Larger_Name,Pred_Smaller_n,Pred_Smaller_Name,OE_Pred_Tot_n,OE_Pred_Larger_n,OE_Pred_Larger_Name,OE_Pred_Smaller_n,OE_Pred_Smaller_Name,HFI,Productivity
"ongoing decline of wildlife populations has been recorded during the last decades while livestock numbers grew from 25million to >45million in Mongolia. Had consistent reporting of livestock depredation rates up until the Soviet Union collapsed. ""Biodiversity hotspot""",Tiralla 2021,Khonin Nuga,KNN,107.28347,49.08356,"49°05′ N, 107°17′ E",2008,2012,450,Northern Mongolia,Mongolia,PA0609,9,PA,6,TIA21KNN,PA,6,Boreal Forests/Taiga,PA06,80609,718,718,SUE,SEB,PA7,Undisturbed buffer zone of a protected area,NR,NR,NR,NR,NR,NR,NR,900,1600,900-1600,NK,NK,NK,1 at least ,NK,few,At least one wolf pack according to park rangers. The wolf density and home range size in Khonin Nuga is unknown,"Not present within study area, but highly abundant throughout Mongolia",5,"Wild boar (Sus scrofa), Siberian roe deer (Capreolus pygargus), Red deer (Cervus elaphus), Siberian musk deer (Moschus moschiferus), Moose (Alces alces)",No,NR,NR,NR,NR,NR,,,,,,,
,Torres 2015,Arada and Montemuro,AMR,-8.07052,40.9481,NR,Oct 2011,April 2014,750,Central-west Portugal,Portugal,PA0406,6,PA,4,TOS15AMR,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80406,648,648,WEE,GEM,PA10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Torretta 2024,Lombard Apennines,ERL-L,9.22513,44.89654,NR,2007,2022,850,Northern apennines,Italy,PA1211,11,PA,12,TOA24ERL-L,PA,12,"Mediterranean Forests, Woodlands & Scrub",PA12,81211,795,795,WEE,MED,PA19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Torretta 2018,Liguria region,LGR,8.7022,44.26858,NR,2007,2014,,Liguria region,Italy,PA1211,11,PA,12,TOA18LGR,PA,12,"Mediterranean Forests, Woodlands & Scrub",PA12,81211,795,795,WEE,MED,PA19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Torretta 2016,Liguarian Alps,LGR-A,8.01246,44.07214,NR,2012,2014,,Liguria region,Italy,PA1211,11,PA,12,TOA16LGR-A,PA,12,"Mediterranean Forests, Woodlands & Scrub",PA12,81211,795,795,WEE,MED,PA19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trbojević 2020,Tisovac and Manjača mountains,TMM,17.16303,44.51419,"44°34′52.59″N, 17°13′29.07″E and 44°35′39.33″N, 17°4′14.35″E",2009,2013,,Republic of Srpska,Bosnia and Herzegovina,PA0418,18,PA,4,TRC20TMM,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80418,660,660,WEE,EMF,PA15,No - hunting and grazing allowed,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"not protected, under constant hunting pressure","present, guardian dogs or fences rarely used, livestock predation was part of the reason for the study",2,"Wild boar, Roe deer",UK,0,0,NA,0,NA,,,,,,,
,Tremblay 2001,Lac Jacques-Cartier Highlands,LJC,-71.37835,47.70686,NR,1996,1997,2500,Quebec,Canada,NA0406,6,NA,4,TRY01LJC,NA,4,Temperate Broadleaf & Mixed Forests,NA04,50406,333,333,NOA,NAF,NA11,Increased logging in area. Study area includes two conservation parks (980km^2 total),NR,-15,15,NR,NR,400-700,summer study,400,1100,400-1100,NR,0.0074,20-28 (studied),2 (studied),7-15,12,"""In North America, the gray wolf (Canis lupus) is a specialist predator preying almost exclusively on ungulates and beaver"" (very first line of intro). Wolf density kept low since 1990. But special protection accorded to 2 packs which raised denisty to 0.0074 wolves/km^2 over the course of the study. Those two packs (Malbaie(MB) and Grands-Jardins(GJ)) were studied. In 1996 MB pack = 13 wolves (2 adults, 4 juv, 7 pups), in 1997=15 wolves (5 adults, 3 juv, 7 pups). In 1996 GJ pack= 7 wolves (2 adults, 1 juv, 5 pups) , in 1997= 13 wolves (2 adults, 4 juvs, 7 pups)",No mention,2,"Moose (Alces alces), Woodland caribou (Rangifer tarandus)",Yes,3,1,Black bear (Ursus americanus),2,"Red fox (Vulpes vulpes), Lynx (Lynx lynx)",,,,,,,
"""main wildlife prey species available to wolves are red deer (Cervus elaphus) and marmots (Marmota sibirica)."" ""Przewalski horses became extinct in the wild in Mongolia in the 1960s, but 84 horses have been reintroduced since a reintroduction program started in 1992."" 4% was forrested, the rest is steppe. All research was within park boundaries except interviews with herdsman (in the summer or winter camps and in the buffer zone). Park is not fenced but most wildlife occur only in the park",van Duyne 2009,Hustai National Park,HNP,105.89353,47.68209,"47°46'N, 105°52'E",2003,2005,506,100km south of Ulaanbaatar,Mongolia,PA0813,13,PA,8,VAE09HNP,PA,8,"Temperate Grasslands, Savannas & Shrublands",PA08,80813,734,734,EAE,MOG,PA44,"yes ~ hunting, logging and livestock grazing prohibited",0.2,NR,NR,270,NR,NR,NR,NR,NR,NR,NR,NR,20-50,NR,NR,NR,"HNP staff estimated 50 wolves, authors estimated 20-50 wolves based on wolf energy requirement calculations, interview data, and scat analysis. flexible and opportunistic. wolves were known to have larger home ranges and hunt outside the park. ""Our results concur with those of Jedrzejewski et al. (2005) who revealed that places where wolves were spotted were closer to forests and on higher altitudes than places without wolves. In forests wolves find suitable den sites and food resources.""",present only in buffer zone,5,"Red deer (Cervus elaphus), roe deer (Capreolus capreolus), Mongolian gazelle (Procapra gutturosa), wild boar (Sus scrofa), Przewalski horse (Equus ferus przewalskii)",No,2,0,,2,"Lynx (Lynx lynx), red fox (Vulpes vulpes)",,,,,,,
,Virichera 2024,Kaluzhskie Zaseki State Nature Reserve,KZR,35.75942,53.58434,"53.50–53.65°N, 35.63–35.90°E",2014,2019,200,Kaluga Region,Russia,PA0419,19,PA,4,VIA24KZR,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80419,661,661,WEE,GEM,PA12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low wild ungulate density and high livestock production. Sheperds use perscribed burning to inhibit forest succession and keep the area open for their goats. Wild boar presence is sporadic and only at low altitudes,Vos 2000,Arada Mountain Range,AMR,-8.08362,40.9161,"40˚55'N, 08˚05'W",1996,1996,130,North-east Portugal,Portugal,PA0406,6,PA,4,VOS00AMR,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80406,648,648,WEE,GEM,PA10,"No, hunting is regular ",,,,2000,,0,,250,1070,250-1070,NR,NR,NR,1 (studied),NR,NR,"*1 pack studied. unclear if they are the only pack in the area. Wolves present in the area ""since historical times""",Highly abundant,1,Wild boar,,NR,NR,NR,NR,NR,,,,,,,
"Low wild ungulate density and high livestock production. Wild boar present in valley bottoms, roe deer at low numbers",Vos 2000,Peneda-Gerês National Park,PNG,-8.29951,41.94697,"41˚57'N, 08˚15'W",1996,1996,240,Northern Portugal,Portugal,PA0406,6,PA,4,VOS00PNG,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80406,648,648,WEE,GEM,PA10,"Yes, but poaching is regular",,,,2000,,0,,140,1483,140-1483,NR,NR,NR,1 (studied),NR,NR,"*1 pack studied. unclear if they are the only pack in the area. Wolves present in the area ""since historical times""",Highly abundant,2,"Wild boar, Roe deer",,NR,NR,NR,NR,NR,,,,,,,
possible SP and SA overlap,Wagner 2012,Lusatian heath ,LUH,14.49222,51.4815,NR,2001,2009,2500,North Eastern Saxony and southern Brandenburg,Germany,PA0412,12,PA,4,WAR12LUH,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80412,654,654,WEE,GEM,PA12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
also reports Levins index (B),Werhahn 2019,Humla,HUM,81.65959,30.34222,NR,2015,2015,384,Sanjiangyuan National Nature Reserve,Nepal,PA1021,21,PA,10,WEN19HUM,PA,10,Montane Grasslands & Shrublands,PA10,81021,769,769,EAE,TIP,PA41,Nature reserve,NR,NR,NR,NR,NR,summer study ,summer study,4560,5120,4560-5120,NR,NR,NR,NR,NR,5,Mean pack size observed was 5 wolves,Highly abundant,4,"Kiang, Tibetan gazelle, Tibetan argali, Naur",No,5,2,"Snow leopard (Panthera unica), Brown bear (Ursus arctos)",3,"Red fox (Vulpes vulpes), Tibetan fox (Vulpes ferrilata), Eurasian lynx (Lynx lynx)",,,,,,,
also reports Levins index (B),Werhahn 2019,Dolpa,DOL,83.23936,29.36201,NR,2016,2016,1088,Sanjiangyuan National Nature Reserve,Nepal,PA1021,21,PA,10,WEN12DOL,PA,10,Montane Grasslands & Shrublands,PA10,81021,769,769,EAE,TIP,PA41,Nature reserve,NR,NR,NR,NR,NR,summer study ,summer study,3850,5540,3850-5540,NR,NR,NR,NR,NR,5,Mean pack size observed was 5 wolves,Highly abundant,3,"Tibetan argali, Naur, Tibetan gazelle",No,5,2,"Snow leopard (Panthera unica), Brown bear (Ursus arctos)",3,"Red fox (Vulpes vulpes), Tibetan fox (Vulpes ferrilata), Eurasian lynx (Lynx lynx)",,,,,,,
also reports Levins index (B),Werhahn 2019,Kanchenjunga Conservation Area (KCA),KCA,87.96841,27.77753,NR,2016,2016,368,Inner Valleys of the eastern Himalayas,Nepal,PA1003,3,PA,10,WEN12KCA,PA,10,Montane Grasslands & Shrublands,PA10,81003,751,751,EAE,TIP,PA41,Conservation area,NR,NR,NR,NR,NR,summer study ,summer study,3980,5150,3980-5150,NR,NR,NR,NR,NR,5,Mean pack size observed was 5 wolves,Highly abundant,1,Naur,No,5,2,"Snow leopard (Panthera unica), Brown bear (Ursus arctos)",3,"Red fox (Vulpes vulpes), Tibetan fox (Vulpes ferrilata), Eurasian lynx (Lynx lynx)",,,,,,,
also reports Levins index (B),Werhahn 2019,Zhaqing,ZHA,96.33672,33.46149,NR,2017,2017,452,Tibetan Plateau,China,PA1017,17,PA,10,WEN12ZHA,PA,10,Montane Grasslands & Shrublands,PA10,81017,765,765,EAE,TIP,PA40,,NR,NR,NR,NR,NR,summer study ,summer study,4380,4800,4380-4800,NR,NR,NR,NR,NR,5,Mean pack size observed was 5 wolves,Highly abundant,3,"Naur, Tibetan gazelle, White-lipped deer",No,5,2,"Snow leopard (Panthera unica), Brown bear (Ursus arctos)",3,"Red fox (Vulpes vulpes), Tibetan fox (Vulpes ferrilata), Eurasian lynx (Lynx lynx)",,,,,,,
also reports Levins index (B),Werhahn 2019,Namsai,NAM,96.90831,33.17576,NR,2017,2017,175,Tibetan Plateau,China,PA1017,17,PA,10,WEN12NAM,PA,10,Montane Grasslands & Shrublands,PA10,81017,765,765,EAE,TIP,PA40,,NR,NR,NR,NR,NR,summer study ,summer study,4360,4770,4360-4770,NR,NR,NR,NR,NR,5,Mean pack size observed was 5 wolves,Highly abundant,3,"Naur, White-lipped deer, Tibetan gazelle",No,5,2,"Snow leopard (Panthera unica), Brown bear (Ursus arctos)",3,"Red fox (Vulpes vulpes), Tibetan fox (Vulpes ferrilata), Eurasian lynx (Lynx lynx)",,,,,,,
,Woodruff 2019,Grand teton,GTE,-110.48561,43.72254,NR,2000,2007,2300,Wyoming,USA,NA0528,28,NA,5,WOF19GTE,NA,5,Temperate Conifer Forests,NA05,50528,367,367,NOA,AMW,NA13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg pack size and range pack size based on Parks canada report (see Paper Basics; Data Usuage),Zabihi-Seissan 2022,Riding Mountain National Park,RDM,-100.19372,50.83333,"50°51′50″N, 100°02′10″W",2016,2017,3000,Manitoba,Canada,NA0608,8,NA,6,ZAN22RDM,NA,6,Boreal Forests/Taiga,NA06,50608,376,376,SUA,CBF,NA8,National park,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.024,70(2017)-72(2016),8,2-11,5.25,"17 GPS wolves across 6 packs. Pop estimated as 72 wolves in 2016 and 70 wolves in 2017. Density = 0.024 wolves/km^2. ""Wolves in the western portion of Riding Mountain were ftted with GPS collars in three packs and one lone wolf in Jan-Feb 2016 (n=13), and in six-packs Jan-Feb 2017 (n=14) representing 60% of packs in the park and 100% coverage of packs in the western ‘core’ area."" 8 wolf packs studied (7 with unique density measures, and 2 seperate years for one pack). According to Parks canada survey 13 packs total (https://open.canada.ca/data/en/dataset/71a0e894-178f-45df-978b-ae6b6ed1eabd/resource/19956058-a078-4de5-85d7-70c7ccb69772) ",No mention,3,"Elk, moose, white-tailed deer",Yes,NR,NR,NR,NR,NR,,,,,,,
